"Reference","Value","Footprint","Datasheet","DigiKey_Part_Number","Qty"
"3VREG1","AP2112K-3.3","Package_TO_SOT_SMD:SOT-23-5","https://www.diodes.com/assets/Datasheets/AP2112.pdf","AP2112K-3.3TRG1DICT-ND","1"
"BLT-CONN1","532610571","MolexPicoBlade:MOLEX_532610571","","WM7623CT-ND","1"
"Boot1","PTS645SK50SMTR92LFS","PushButton:SW_PTS645SK50SMTR92LFS","","CKN9087TR-ND","1"
"C1, C18, C21","1uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","311-3498-1-ND","3"
"C2","10uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","399-C0805C106J8RACAUTO7210CT-ND","1"
"C3, C8, C11-C17, C19, C20","0.1uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","311-1858-1-ND","11"
"C4","4.7nF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","399-C0805C472F5GEC7800CT-ND","1"
"C5-C7","10uf","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","399-C0805C106J8RACAUTO7210CT-ND","3"
"C9, C10","12pF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","399-C0805C120C5GAC7800CT-ND","2"
"C22, C27","10nF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","399-C0805C103J5GEC7800CT-ND","2"
"C23-C26, C28","1nF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","399-17883-1-ND","5"
"CRYSTAL1","12Mhz","ABM3B-12.000MHZ-12-N2Y-T:XTAL_ABM3B-12.000MHZ-12-N2Y-T","","535-14827-1-ND","1"
"FLASH1","W25Q128JVS","Package_SO:SOIC-8_5.23x5.23mm_P1.27mm","http://www.winbond.com/resource-files/w25q128jv_dtr%20revc%2003272018%20plus.pdf","W25Q128JVSIQCT-ND","1"
"H1-H4","MountingHole","MountingHole:MountingHole_3.5mm","~","","4"
"LED1","WS2812B","LED_SMD:LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm","https://cdn-shop.adafruit.com/datasheets/WS2812B.pdf","WS2812B","1"
"LOADCELL1","B4B-XH-A","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","","","1"
"R1","100k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","13-RC0805FR-13100KLCT-ND","1"
"R2-R4, R13","100","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","311-100CRCT-ND","4"
"R5, R6","27","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","311-27.0CRCT-ND","2"
"R7","10k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","311-10.0KCRCT-ND","1"
"R8, R9","1k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","311-1.00KCRCT-ND","2"
"R10","10K","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","311-10.0KCRCT-ND","1"
"R11, R12","5.1k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","311-5.10KCRCT-ND","2"
"RP2040","RP2040","Package_DFN_QFN:QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm","https://datasheets.raspberrypi.com/rp2040/rp2040-datasheet.pdf","2648-SC0914(13)CT-ND","1"
"SWD1","~","Connector_JST:JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal","~","455-SM03B-SRSS-TBCT-ND","1"
"U1","ADS1235IRHBR","ADS1235IRHBR:VQFN32_5X5_TEX","","296-ADS1235QWRHMRQ1CT-ND","1"
"USB1","~","USB4145-03-0170-C_REVA2:GCT_USB4145-03-0170-C_REVA2","","2073-USB4145-03-0170-CCT-ND","1"
